Aria | Composer | Opera | Voice | Filename
----------------------------------------------------------------------------------------------------
L'implacabile Dea | Gluck, Christoph Willibald von | Alceste | Check (Ercole) | L'implacabile Dea.pdf
C'est envain | Gluck, Christoph Willibald von | Alceste | Check (Hercule) | C'est envain.pdf
La Dea d'Averno avvolta | Gluck, Christoph Willibald von | Alceste | Check (Il Sommo Sacerdote) | La Dea d'Averno avvolta.pdf
Déjà la mort s'apprête | Gluck, Christoph Willibald von | Alceste | Check (Le Grand-Prêtre) | Déjà la mort s'apprête.pdf
Se grave è a te | Gluck, Christoph Willibald von | Alceste | Check (Tanato) | Se grave è a te.pdf
Caron t'appelle, entends sa voix! | Gluck, Christoph Willibald von | Alceste | Check (Un Dieu Infernal) | Caron t'appelle, entends sa voix!.pdf
A vostri lai | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | A vostri lai.pdf
Ah! Divinités implacables | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | Ah! Divinités implacables.pdf
Divinités du Styx | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | Divinités du Styx.pdf
Eh! Pourrai je vivre sans toi | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | Eh! Pourrai je vivre sans toi.pdf
Fatal divinità | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | Fatal divinità.pdf
Grand Dieux, du destin, qui m'accable | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | Grand Dieux, du destin, qui m'accable.pdf
Je n'ai jamais chéri la vie | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | Je n'ai jamais chéri la vie.pdf
Mi arridea sin or la vita | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | Mi arridea sin or la vita.pdf
O Dei, del mio fato tiranno | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | O Dei, del mio fato tiranno.pdf
O funesta Dea | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | O funesta Dea.pdf
Senza del tuo sospir | Gluck, Christoph Willibald von | Alceste | Soprano/女高音 | Senza del tuo sospir.pdf
Alceste, au nom des Dieux | Gluck, Christoph Willibald von | Alceste | Check (Admète) | Alceste, au nom des Dieux.pdf
Bannis la crainte et les alarmes | Gluck, Christoph Willibald von | Alceste | Check (Admète) | Bannis la crainte et les alarmes.pdf
Barbare, non, sans toi | Gluck, Christoph Willibald von | Alceste | Check (Admète) | Barbare, non, sans toi.pdf
Crudele, senza te | Gluck, Christoph Willibald von | Alceste | Check (Admeto) | Crudele, senza te.pdf
Pel Dio, pe' Numi tuoi | Gluck, Christoph Willibald von | Alceste | Check (Admeto) | Pel Dio, pe' Numi tuoi.pdf
Perchè nutrir terror | Gluck, Christoph Willibald von | Alceste | Check (Admeto) | Perchè nutrir terror.pdf
O più tremar non voglio | Gluck, Christoph Willibald von | Demofoonte | Check (Matusio) | O più tremar non voglio.pdf
Il suo leggiadro viso | Gluck, Christoph Willibald von | Demofoonte | Check (Cherinto) | Il suo leggiadro viso.pdf
Vuoi ch'io m'uccida | Gluck, Christoph Willibald von | Demofoonte | Check (Cherinto) | Vuoi ch'io m'uccida.pdf
Per lei fra l'armi | Gluck, Christoph Willibald von | Demofoonte | Check (Demofoonte) | Per lei fra l'armi.pdf
Gemo in un punto e fremo | Gluck, Christoph Willibald von | Demofoonte | Check (Timante) | Gemo in un punto e fremo.pdf
Sperai vicino il lido | Gluck, Christoph Willibald von | Demofoonte | Check (Timante) | Sperai vicino il lido.pdf
Non curo l'affetto | Gluck, Christoph Willibald von | Demofoonte | Check (Creusa) | Non curo l'affetto.pdf
In te spero, sposo amato | Gluck, Christoph Willibald von | Demofoonte | Check (Dircea) | In te spero, sposo amato.pdf
Padre perdona | Gluck, Christoph Willibald von | Demofoonte | Check (Dircea) | Padre perdona.pdf
Du spottest meiner, erbärmlicher Tropf | Gluck, Christoph Willibald von | Der betrogene Kadi | Check (Der Kadi) | Du spottest meiner, erbärmlicher Tropf.pdf
O Tag, so wonniglich | Gluck, Christoph Willibald von | Der betrogene Kadi | Check (Der Kadi) | O Tag, so wonniglich.pdf
Will mein Weib zu Hause brummen | Gluck, Christoph Willibald von | Der betrogene Kadi | Check (Omar) | Will mein Weib zu Hause brummen.pdf
Ach, wie ist doch zu bedauern | Gluck, Christoph Willibald von | Der betrogene Kadi | Check (Fatime) | Ach, wie ist doch zu bedauern.pdf
Mein Männchen, mein Herzchen | Gluck, Christoph Willibald von | Der betrogene Kadi | Check (Fatime) | Mein Männchen, mein Herzchen.pdf
Komm, mein süsser Mann | Gluck, Christoph Willibald von | Der betrogene Kadi | Check (Omega) | Komm, mein süsser Mann.pdf
Lebe wohl, der Spass ist aus | Gluck, Christoph Willibald von | Der betrogene Kadi | Check (Omega) | Lebe wohl, der Spass ist aus.pdf
Göttin der Liebe, der ich mein Herz geweiht | Gluck, Christoph Willibald von | Der betrogene Kadi | Check (Zelmire) | Göttin der Liebe, der ich mein Herz geweiht.pdf
Deinen Worten weicht das Bangen | Gluck, Christoph Willibald von | Der betrogene Kadi | Check (Nuradin) | Deinen Worten weicht das Bangen.pdf
Rien dans la nature | Gluck, Christoph Willibald von | Écho et Narcisse | Soprano/女高音 | Rien dans la nature.pdf
Al mio fedel dirai | Gluck, Christoph Willibald von | Il re pastore | Check (Tamiris) | Al mio fedel dirai.pdf
Au faite des grandeurs | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Agamemnon) | Au faite des grandeurs.pdf
Brillant auteur de la lumière! | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Agamemnon) | Brillant auteur de la lumière!.pdf
O toi, l'objet le plus aimable | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Agamemnon) | O toi, l'objet le plus aimable.pdf
Peuvents-ils ordonner | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Calchas) | Peuvents-ils ordonner.pdf
Calchas, d'un trait mortel blessé | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Achille) | Calchas, d'un trait mortel blessé.pdf
Cours, et dis-lui: qu'elle n'a rien à craindre | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Achille) | Cours, et dis-lui qu'elle n'a rien à craindre.pdf
Cruelle, non, jamais votre insensible | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Achille) | Cruelle, non, jamais votre insensible.pdf
Armez-vous d'un noble courage | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Clytemnestra) | Armez-vous d'un noble courage.pdf
Jupiter, lance ta foudre | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Clytemnestra) | Jupiter, lance ta foudre.pdf
Par son père cruel à la mort condamnée | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Clytemnestra) | Par son père cruel à la mort condamnée.pdf
Que j'aime à voir ces hommage flatteurs | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Clytemnestra) | Que j'aime à voir ces hommage flatteurs.pdf
Son front est couronne des mains de la victoire | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Eine Griechin) | Son front est couronne des mains de la victoire.pdf
Adieu, conservez dans votre âme | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Iphigénie) | Adieu, conservez dans votre âme.pdf
Hélas! mon coeur sensible et tendre | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Iphigénie) | Hélas! mon coeur sensible et tendre.pdf
Il faut de mon destin | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Iphigénie) | Il faut de mon destin.pdf
Iphigénie, hélas! vous a trop fait connaitre | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Iphigénie) | Iphigénie, hélas! vous a trop fait connaitre.pdf
Les voeux, dont ce peuple m'honore | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Iphigénie) | Les voeux, dont ce peuple m'honore.pdf
Par la crainte et par l'espérance | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Iphigénie) | Par la crainte et par l'espérance.pdf
Vivez, vivez pour Oreste, mon frère | Gluck, Christoph Willibald von | Iphigénie en Aulide | Check (Iphigénie) | Vivez, vivez pour Oreste, mon frère.pdf
Heureux guerriers, volez a la victoire | Gluck, Christoph Willibald von | Iphigénie en Aulide | Soprano/女高音 | Heureux guerriers, volez a la victoire.pdf
Dans cet objet touchant | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Oreste) | Dans cet objet touchant.pdf
Dieux qui me poursuivez! | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Oreste) | Dieux qui me poursuivez!.pdf
Le calme rentre dans mon coeur | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Oreste) | Le calme rentre dans mon coeur.pdf
Que ces regrets touchants pour mon coeur ont des charmes | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Oreste) | Que ces regrets touchants pour mon coeur ont des charmes.pdf
Quoi! toujours à mes voeux vous êtes inflexible? | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Oreste) | Quoi! toujours à mes voeux vous êtes inflexible.pdf
De noirs pressentiments, mon âme intimidée | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Thoas) | De noirs pressentiments, mon âme intimidée.pdf
De tes forfaits la trame est découverte | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Thoas) | De tes forfaits la trame est découverte.pdf
Ah! laissons-là ce souvenir funeste | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Iphigénie) | Ah! laissons-là ce souvenir funeste.pdf
D'une image, hélas! trop chérie | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Iphigénie) | D'une image, hélas! trop chérie.pdf
Je t'implore et je tremble | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Iphigénie) | Je t'implore et je tremble.pdf
O malheureuse Iphigénie | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Iphigénie) | O malheureuse Iphigénie.pdf
Ô toi qui, prolongeas mes jours | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Iphigénie) | Ô toi qui, prolongeas mes jours.pdf
Tremblez! on sait tout le mystère | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Prêtresse) | Tremblez! on sait tout le mystère.pdf
Ah! mon ami, j'implore ta pitié! | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Pylade) | Ah! mon ami, j'implore ta pitié!.pdf
Divinité des grandes âmes! | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Pylade) | Divinité des grandes âmes!.pdf
Unis dès la plus tendre enfance | Gluck, Christoph Willibald von | Iphigénie en Tauride | Check (Pylade) | Unis dès la plus tendre enfance.pdf
Mahomet, notre grand prophète | Gluck, Christoph Willibald von | La rencontre imprévue | Check (Le Chef de la Caravane) | Mahomet, notre grand prophète.pdf
C'est un torrent impétueux | Gluck, Christoph Willibald von | La rencontre imprévue | Check (Vertigo) | C'est un torrent impétueux.pdf
D'un céleste transport mon âme est agitée | Gluck, Christoph Willibald von | La rencontre imprévue | Check (Vertigo) | D'un céleste transport mon âme est agitée.pdf
Des combats J'ai peint l'horreur | Gluck, Christoph Willibald von | La rencontre imprévue | Check (Vertigo) | Des combats J'ai peint l'horreur.pdf
Un ruisselet, Bien clair, bien net | Gluck, Christoph Willibald von | La rencontre imprévue | Check (Vertigo) | Un ruisselet, Bien clair, bien net.pdf
