Song Title | Composer | Voice Type | Tonality | Filename
----------------------------------------------------------------------------------------------------
Abendbilder - D650 | Schubert, Franz | Medium | Original | Abendbilder_-_D650_Medium_Original.pdf
Abendlied - D276 | Schubert, Franz | Medium | Original | Abendlied_-_D276_Medium_Original.pdf
Abendlied - D382 | Schubert, Franz | Medium | Original | Abendlied_-_D382_Medium_Original.pdf
Abendlied - D499 | Schubert, Franz | Medium | Original | Abendlied_-_D499_Medium_Original.pdf
Abendlied der Fürstin - D495 | Schubert, Franz | Medium | Original | Abendlied_der_Fürstin_-_D495_Medium_Original.pdf
Abendlied für die entfernte - D856 | Schubert, Franz | Medium | Original | Abendlied_für_die_entfernte_-_D856_Medium_Original.pdf
Abendröte - D690 | Schubert, Franz | Medium | Original | Abendröte_-_D690_Medium_Original.pdf
Abends unter der Linde - D235 | Schubert, Franz | Medium | Original | Abends_unter_der_Linde_-_D235_Medium_Original.pdf
Abends unter der Linde - D237 | Schubert, Franz | Medium | Original | Abends_unter_der_Linde_-_D237_Medium_Original.pdf
Abendständchen. An Lina - D265 | Schubert, Franz | Medium | Original | Abendständchen._An_Lina_-_D265_Medium_Original.pdf
Abenstern - D806 | Schubert, Franz | Medium | Original | Abenstern_-_D806_Medium_Original.pdf
Abschied - D475 | Schubert, Franz | Medium | Original | Abschied_-_D475_Medium_Original.pdf
Abschied von der Erde - D829 | Schubert, Franz | Medium | Original | Abschied_von_der_Erde_-_D829_Medium_Original.pdf
Abschied von der Harfe - D406 | Schubert, Franz | Medium | Original | Abschied_von_der_Harfe_-_D406_Medium_Original.pdf
Abschied von einem Freunde - D578 | Schubert, Franz | Medium | Original | Abschied_von_einem_Freunde_-_D578_Medium_Original.pdf
Adelaide - D95 | Schubert, Franz | Medium | Original | Adelaide_-_D95_Medium_Original.pdf
Adelwold und Emma - D211 | Schubert, Franz | Medium | Original | Adelwold_und_Emma_-_D211_Medium_Original.pdf
Alinde - D904 | Schubert, Franz | Medium | Original | Alinde_-_D904_Medium_Original.pdf
Alles um Liebe - D241 | Schubert, Franz | Medium | Original | Alles_um_Liebe_-_D241_Medium_Original.pdf
Als ich sie erröten sah - D153 | Schubert, Franz | Medium | Original | Als_ich_sie_erröten_sah_-_D153_Medium_Original.pdf
Alte Liebe rostet nie - D477 | Schubert, Franz | Medium | Original | Alte_Liebe_rostet_nie_-_D477_Medium_Original.pdf
Am Bach im Frühlinge - D361 | Schubert, Franz | Medium | Original | Am_Bach_im_Frühlinge_-_D361_Medium_Original.pdf
Am Fenster - D878 | Schubert, Franz | Medium | Original | Am_Fenster_-_D878_Medium_Original.pdf
Am Flusse - D160 | Schubert, Franz | Medium | Original | Am_Flusse_-_D160_Medium_Original.pdf
Am Flusse - D766 | Schubert, Franz | Medium | Original | Am_Flusse_-_D766_Medium_Original.pdf
Am Grabe Anselmos - D504 | Schubert, Franz | Medium | Original | Am_Grabe_Anselmos_-_D504_Medium_Original.pdf
Am See - D124 | Schubert, Franz | Medium | Original | Am_See_-_D124_Medium_Original.pdf
Am See - D746 | Schubert, Franz | Medium | Original | Am_See_-_D746_Medium_Original.pdf
Am Strome - D539 | Schubert, Franz | Medium | Original | Am_Strome_-_D539_Medium_Original.pdf
Amalie - D195 | Schubert, Franz | Medium | Original | Amalie_-_D195_Medium_Original.pdf
Ammenlied - D122 | Schubert, Franz | Medium | Original | Ammenlied_-_D122_Medium_Original.pdf
Amphiaraos - D166 | Schubert, Franz | Medium | Original | Amphiaraos_-_D166_Medium_Original.pdf
An Chloen - D462 | Schubert, Franz | Medium | Original | An_Chloen_-_D462_Medium_Original.pdf
An den Frühling - D283 | Schubert, Franz | Medium | Original | An_den_Frühling_-_D283_Medium_Original.pdf
An den Frühling - D587 | Schubert, Franz | Medium | Original | An_den_Frühling_-_D587_Medium_Original.pdf
An den Mond - D193 | Schubert, Franz | Medium | Original | An_den_Mond_-_D193_Medium_Original.pdf
An den Mond - D259 | Schubert, Franz | Medium | Original | An_den_Mond_-_D259_Medium_Original.pdf
An den Mond - D259 or 296 | Schubert, Franz | Medium | Original | An_den_Mond_-_D259_or_296_Medium_Original.pdf
An den Mond - D259 or 296 | Schubert, Franz | Medium | Original | An_den_Mond_-_D259_or_296_Medium_Original.pdf
An den Mond - D296 | Schubert, Franz | Medium | Original | An_den_Mond_-_D296_Medium_Original.pdf
An den Mond - D468 | Schubert, Franz | Medium | Original | An_den_Mond_-_D468_Medium_Original.pdf
An den Mond in einer Herbstnacht - D614 | Schubert, Franz | Medium | Original | An_den_Mond_in_einer_Herbstnacht_-_D614_Medium_Original.pdf
An den Schlaf - D447 | Schubert, Franz | Medium | Original | An_den_Schlaf_-_D447_Medium_Original.pdf
An den Tod - D518 | Schubert, Franz | Low | Original | An_den_Tod_-_D518_Low_Original.pdf
An die Apfelbäume - D197 | Schubert, Franz | Medium | Original | An_die_Apfelbäume_-_D197_Medium_Original.pdf
An die Entfernte - D765 | Schubert, Franz | Medium | Original | An_die_Entfernte_-_D765_Medium_Original.pdf
An die Freude - D189 | Schubert, Franz | Medium | Original | An_die_Freude_-_D189_Medium_Original.pdf
An die Freunde - D654 | Schubert, Franz | Medium | Original | An_die_Freunde_-_D654_Medium_Original.pdf
An die Geliebte - D303 | Schubert, Franz | Medium | Original | An_die_Geliebte_-_D303_Medium_Original.pdf
An die Harmonie - D394 | Schubert, Franz | Medium | Original | An_die_Harmonie_-_D394_Medium_Original.pdf
An die Laute - D905 | Schubert, Franz | Medium | Original | An_die_Laute_-_D905_Medium_Original.pdf
An die Leier - D737 | Schubert, Franz | Medium | Original | An_die_Leier_-_D737_Medium_Original.pdf
An die Musik - D547 | Schubert, Franz | Medium | Original | An_die_Musik_-_D547_Medium_Original.pdf
An die Musik - D547 | Schubert, Franz | Medium | Original | An_die_Musik_-_D547_Medium_Original.pdf
An die Nachtigall - D196 | Schubert, Franz | Medium | Original | An_die_Nachtigall_-_D196_Medium_Original.pdf
An die Nachtigall - D497 | Schubert, Franz | Medium | Original | An_die_Nachtigall_-_D497_Medium_Original.pdf
An die Natur - D372 | Schubert, Franz | Medium | Original | An_die_Natur_-_D372_Medium_Original.pdf
An die Sonne - D270 | Schubert, Franz | Medium | Original | An_die_Sonne_-_D270_Medium_Original.pdf
An die Sonne - D272 | Schubert, Franz | Medium | Original | An_die_Sonne_-_D272_Medium_Original.pdf
An die untergehende Sonne - D457 | Schubert, Franz | Medium | Original | An_die_untergehende_Sonne_-_D457_Medium_Original.pdf
An eine Quelle - D530 | Schubert, Franz | Medium | Original | An_eine_Quelle_-_D530_Medium_Original.pdf
An Emma - D113 | Schubert, Franz | Medium | Original | An_Emma_-_D113_Medium_Original.pdf
An Laura - D115 | Schubert, Franz | Medium | Original | An_Laura_-_D115_Medium_Original.pdf
An mein Herz - D860 | Schubert, Franz | Medium | Original | An_mein_Herz_-_D860_Medium_Original.pdf
An mein Klavier - D342 | Schubert, Franz | Medium | Original | An_mein_Klavier_-_D342_Medium_Original.pdf
An Mignon - D161 | Schubert, Franz | Medium | Original | An_Mignon_-_D161_Medium_Original.pdf
An Rosa I - D315 | Schubert, Franz | Medium | Original | An_Rosa_I_-_D315_Medium_Original.pdf
An Rosa II - D316 | Schubert, Franz | Medium | Original | An_Rosa_II_-_D316_Medium_Original.pdf
An Schwager Kronos - D369 | Schubert, Franz | Medium | Original | An_Schwager_Kronos_-_D369_Medium_Original.pdf
An Sie - D288 | Schubert, Franz | Medium | Original | An_Sie_-_D288_Medium_Original.pdf
Andenken - D99 | Schubert, Franz | Medium | Original | Andenken_-_D99_Medium_Original.pdf
Antigone und Oedip - D542 | Schubert, Franz | Medium | Original | Antigone_und_Oedip_-_D542_Medium_Original.pdf
Atys - D585 | Schubert, Franz | Medium | Original | Atys_-_D585_Medium_Original.pdf
Auf dem See - D543 | Schubert, Franz | Medium | Original | Auf_dem_See_-_D543_Medium_Original.pdf
Auf dem Strom - D943 | Schubert, Franz | Medium | Original | Auf_dem_Strom_-_D943_Medium_Original.pdf
Auf dem Wasser zu singer - D774 | Schubert, Franz | Medium | Original | Auf_dem_Wasser_zu_singer_-_D774_Medium_Original.pdf
Auf den Tod einer Nachtigall - D399 | Schubert, Franz | Medium | Original | Auf_den_Tod_einer_Nachtigall_-_D399_Medium_Original.pdf
Auf der Bruck - D853 | Schubert, Franz | Medium | Original | Auf_der_Bruck_-_D853_Medium_Original.pdf
Auf der Donau - D553 | Schubert, Franz | Medium | Original | Auf_der_Donau_-_D553_Medium_Original.pdf
Auf der Riesenkoppe - D611 | Schubert, Franz | Medium | Original | Auf_der_Riesenkoppe_-_D611_Medium_Original.pdf
Auf einen Kirchhof - D151 | Schubert, Franz | Medium | Original | Auf_einen_Kirchhof_-_D151_Medium_Original.pdf
Auflösung - D807 | Schubert, Franz | Medium | Original | Auflösung_-_D807_Medium_Original.pdf
Augenlied - D297 | Schubert, Franz | Medium | Original | Augenlied_-_D297_Medium_Original.pdf
Aus Diego Manazares. Ilmerine - D458 | Schubert, Franz | Medium | Original | Aus_Diego_Manazares._Ilmerine_-_D458_Medium_Original.pdf
Aus Heliopolis - D753 | Schubert, Franz | Medium | Original | Aus_Heliopolis_-_D753_Medium_Original.pdf
Ave Maria - Ellens Gesang III - D839 | Schubert, Franz | Medium | Original | Ave_Maria_-_Ellens_Gesang_III_-_D839_Medium_Original.pdf
Ballade ('Ein Fräulein schaut') - D134 | Schubert, Franz | Medium | Original | Ballade_('Ein_Fräulein_schaut')_-_D134_Medium_Original.pdf
Bei dem Grabe meines Vaters - D496 | Schubert, Franz | Medium | Original | Bei_dem_Grabe_meines_Vaters_-_D496_Medium_Original.pdf
Bei dir - D866 | Schubert, Franz | Medium | Original | Bei_dir_-_D866_Medium_Original.pdf
Beim Winde - D669 | Schubert, Franz | Medium | Original | Beim_Winde_-_D669_Medium_Original.pdf
Bertas Lied in der Nacht - D653 | Schubert, Franz | Medium | Original | Bertas_Lied_in_der_Nacht_-_D653_Medium_Original.pdf
Blanka - D631 | Schubert, Franz | Medium | Original | Blanka_-_D631_Medium_Original.pdf
Blondel zu Marien - D626 | Schubert, Franz | Medium | Original | Blondel_zu_Marien_-_D626_Medium_Original.pdf
Blumenlied - D431 | Schubert, Franz | Medium | Original | Blumenlied_-_D431_Medium_Original.pdf
Bundeslied - D258 | Schubert, Franz | Medium | Original | Bundeslied_-_D258_Medium_Original.pdf
Cora an die Sonne - D263 | Schubert, Franz | Medium | Original | Cora_an_die_Sonne_-_D263_Medium_Original.pdf
Cronnan - D282 | Schubert, Franz | Medium | Original | Cronnan_-_D282_Medium_Original.pdf
Da quel sembiante appresi - D688 | Schubert, Franz | Medium | Original | Da_quel_sembiante_appresi_-_D688_Medium_Original.pdf
Daphne am Bach - D411 | Schubert, Franz | Medium | Original | Daphne_am_Bach_-_D411_Medium_Original.pdf
Das Abendroth - D627 | Schubert, Franz | Medium | Original | Das_Abendroth_-_D627_Medium_Original.pdf
Das Bild - D155 | Schubert, Franz | Medium | Original | Das_Bild_-_D155_Medium_Original.pdf
Das Echo - D990C | Schubert, Franz | Medium | Original | Das_Echo_-_D990C_Medium_Original.pdf
Das Finden - D219 | Schubert, Franz | Medium | Original | Das_Finden_-_D219_Medium_Original.pdf
Das Geheimnis - D250 | Schubert, Franz | Medium | Original | Das_Geheimnis_-_D250_Medium_Original.pdf
Das Geheimnis - D793 | Schubert, Franz | Medium | Original | Das_Geheimnis_-_D793_Medium_Original.pdf
Das gestörte Glück - D309 | Schubert, Franz | Medium | Original | Das_gestörte_Glück_-_D309_Medium_Original.pdf
Das große Halleluja - D442 | Schubert, Franz | Medium | Original | Das_große_Halleluja_-_D442_Medium_Original.pdf
Das Heimweh - D456 | Schubert, Franz | Medium | Original | Das_Heimweh_-_D456_Medium_Original.pdf
Das Heimweh - D851 | Schubert, Franz | Medium | Original | Das_Heimweh_-_D851_Medium_Original.pdf
Das Lied im Grünen - D917 | Schubert, Franz | Medium | Original | Das_Lied_im_Grünen_-_D917_Medium_Original.pdf
Das Lied vom Reifen - D532 | Schubert, Franz | Medium | Original | Das_Lied_vom_Reifen_-_D532_Medium_Original.pdf
Das Mädchen - D652 | Schubert, Franz | Medium | Original | Das_Mädchen_-_D652_Medium_Original.pdf
Das Mädchen aus der Fremde - D117 | Schubert, Franz | Medium | Original | Das_Mädchen_aus_der_Fremde_-_D117_Medium_Original.pdf
