Aria | Composer | Opera | Voice | Filename
----------------------------------------------------------------------------------------------------
L'abborrita rivale...Già i sacerdoti adunansi | Verdi, Giuseppe | Aida | Amneris | L'abborrita rivale...Già i sacerdoti adunansi.pdf
O Patria Mia | Verdi, Giuseppe | Aida | Aïda | O Patria Mia.pdf
Ritorna vincitor! | Verdi, Giuseppe | Aida | Aïda | Ritorna vincitor!.pdf
Celeste Aida | Verdi, Giuseppe | Aida | Radamès | Celeste Aida.pdf
Eterna la memoria | Verdi, Giuseppe | Alzira | Gusmano | Eterna la memoria.pdf
Quanto un mortal può chiedere | Verdi, Giuseppe | Alzira | Gusmano | Quanto un mortal può chiedere.pdf
Da Gusman sul fragil barca | Verdi, Giuseppe | Alzira | Alzira | Da Gusman sul fragil barca.pdf
Nell'astro più che fulgido | Verdi, Giuseppe | Alzira | Alzira | Nell'astro più che fulgido.pdf
Irne lungi ancor dovrei | Verdi, Giuseppe | Alzira | Zamoro | Irne lungi ancor dovrei.pdf
Non di codarde lagrime | Verdi, Giuseppe | Alzira | Zamoro | Non di codarde lagrime.pdf
Risorto fra le tenebre | Verdi, Giuseppe | Alzira | Zamoro | Risorto fra le tenebre.pdf
Un Inca, eccesso orribile | Verdi, Giuseppe | Alzira | Zamoro | Un Inca, eccesso orribile.pdf
Mina, pensai che un angelo | Verdi, Giuseppe | Aroldo | Egberto | Mina, pensai che un angelo.pdf
Ah! dagli scanni eterci | Verdi, Giuseppe | Aroldo | Mina | Ah! dagli scanni eterci.pdf
Sotto il sol di Siria ardente | Verdi, Giuseppe | Aroldo | Aroldo | Sotto il sol di Siria ardente.pdf
Dagl'immortali vertici | Verdi, Giuseppe | Attila | Ezio | Dagl'immortali vertici.pdf
E' gettata la mia sorte | Verdi, Giuseppe | Attila | Ezio | E' gettata la mia sorte.pdf
Mentre gonfiarsi l'anima parea | Verdi, Giuseppe | Attila | Attila | Mentre gonfiarsi l'anima parea.pdf
Oltre quel limite, t'attendo, o spettro | Verdi, Giuseppe | Attila | Attila | Oltre quel limite, t'attendo, o spettro.pdf
Allor che i forti corrono | Verdi, Giuseppe | Attila | Odabella | Allor che i forti corrono.pdf
Da te questo or m'è concesso | Verdi, Giuseppe | Attila | Odabella | Da te questo or m'è concesso.pdf
Oh! Nel fuggente nuvolo | Verdi, Giuseppe | Attila | Odabella | Oh! Nel fuggente nuvolo.pdf
Cara patria già madre e reina | Verdi, Giuseppe | Attila | Foresto | Cara patria già madre e reina.pdf
Che non avrebbe il misero | Verdi, Giuseppe | Attila | Foresto | Che non avrebbe il misero.pdf
Ella in poter del barbaro | Verdi, Giuseppe | Attila | Foresto | Ella in poter del barbaro.pdf
Carlo ch'è sol il nostro amore | Verdi, Giuseppe | Don Carlo | Rodrigo | Carlo ch'è sol il nostro amore.pdf
Io morrò, ma lieto in core | Verdi, Giuseppe | Don Carlo | Rodrigo | Io morrò, ma lieto in core.pdf
Per me giunto... O Carlo, ascolta | Verdi, Giuseppe | Don Carlo | Rodrigo | Per me giunto... O Carlo, ascolta.pdf
Dormirò sol nel manto mio regal | Verdi, Giuseppe | Don Carlo | Philip II | Dormirò sol nel manto mio regal.pdf
Ella giammai m'amò | Verdi, Giuseppe | Don Carlo | Philip II | Ella giammai m'amò.pdf
Nel giardin del bello | Verdi, Giuseppe | Don Carlo | Princess Eboli | Nel giardin del bello.pdf
O don fatale | Verdi, Giuseppe | Don Carlo | Princess Eboli | O don fatale.pdf
Di quale amor, di quanto ardor | Verdi, Giuseppe | Don Carlo | Elisabeth of Valois | Di quale amor, di quanto ardor.pdf
Non pianger, mia compagna | Verdi, Giuseppe | Don Carlo | Elisabeth of Valois | Non pianger, mia compagna.pdf
Tu che le vanità conosce | Verdi, Giuseppe | Don Carlo | Elisabeth of Valois | Tu che le vanità conosce.pdf
Io la vidi, al suo sorriso | Verdi, Giuseppe | Don Carlo | Don Carlos | Io la vidi, al suo sorriso.pdf
C'est mon jour suprème... Ah, je meurs, l'âme joyeuse | Verdi, Giuseppe | Don Carlos | Rodrigo | C'est mon jour suprème... Ah, je meurs, l'âme joyeuse.pdf
L'Infant Carlos, notre espérance | Verdi, Giuseppe | Don Carlos | Rodrigo | L'Infant Carlos, notre espérance.pdf
Elle ne m'aime pas | Verdi, Giuseppe | Don Carlos | Philip II | Elle ne m'aime pas.pdf
Au palais des fées | Verdi, Giuseppe | Don Carlos | Princess Eboli | Au palais des fées.pdf
O don fatale | Verdi, Giuseppe | Don Carlos | Princess Eboli | O don fatale.pdf
De quels transports poignants et doux | Verdi, Giuseppe | Don Carlos | Elisabeth of Valois | De quels transports poignants et doux.pdf
Oh ma chère compagne | Verdi, Giuseppe | Don Carlos | Elisabeth of Valois | Oh ma chère compagne.pdf
Toi qui sus le néant | Verdi, Giuseppe | Don Carlos | Elisabeth of Valois | Toi qui sus le néant.pdf
J'ai la perdue! | Verdi, Giuseppe | Don Carlos | Don Carlos | J'ai la perdue!.pdf
Je l'ai vue, et dans son sourire | Verdi, Giuseppe | Don Carlos | Don Carlos | Je l'ai vue, et dans son sourire.pdf
Lo vedremo, veglio audace | Verdi, Giuseppe | Ernani | Don Carlo | Lo vedremo, veglio audace.pdf
O sommo Carlo | Verdi, Giuseppe | Ernani | Don Carlo | O sommo Carlo.pdf
Oh de'verd'anni miei | Verdi, Giuseppe | Ernani | Don Carlo | Oh de'verd'anni miei.pdf
Vieni meco, soldi rose | Verdi, Giuseppe | Ernani | Don Carlo | Vieni meco, soldi rose.pdf
Infelice!..e tuo credevi | Verdi, Giuseppe | Ernani | Don Ruy Gomez de Silva | Infelice!..e tuo credevi.pdf
Infin che un brando vindice | Verdi, Giuseppe | Ernani | Don Ruy Gomez de Silva | Infin che un brando vindice.pdf
Ernani, Ernani involami | Verdi, Giuseppe | Ernani | Elvira | Ernani, Ernani involami.pdf
Tutto sprezzo che d'Ernani | Verdi, Giuseppe | Ernani | Elvira | Tutto sprezzo che d'Ernani.pdf
Come rugiada al cespite | Verdi, Giuseppe | Ernani | Ernani | Come rugiada al cespite.pdf
O tu che l'alma adora | Verdi, Giuseppe | Ernani | Ernani | O tu che l'alma adora.pdf
È sogno? o realtà | Verdi, Giuseppe | Falstaff | Ford | È sogno o realtà.pdf
Ehi paggio! ... L'onore! Ladri! | Verdi, Giuseppe | Falstaff | Sir John Falstaff | Ehi paggio! ... L'onore! Ladri!.pdf
Quand'ero paggio del Duca di Norfolk | Verdi, Giuseppe | Falstaff | Sir John Falstaff | Quand'ero paggio del Duca di Norfolk.pdf
Va, vecchio John | Verdi, Giuseppe | Falstaff | Sir John Falstaff | Va, vecchio John.pdf
