letter,work_title,key_original,tonality,genre_categories,category,sub_category,instrumentation,instrumentation_cn,voice_types,language,imslp_id,file_description,section,copyright,publisher,eligible,status,error,skip_reason,local_filename,source_url,handler_url
C,Canon dans le mode phrygien,A Dorian mode,A 多利亚调式,Canons; For piano; Scores featuring the piano; For 1 player,器乐独奏,卡农,Piano,钢琴,钢琴独奏,,824685,Complete Score,tabScore1,Public Domain,"Paris: Alphonse Leduc, 1909. Plate A.L. 14,138.",True,downloaded,,,器乐独奏/19c6d8fe-9666-481d-be74-55b6b092d180.pdf,"https://imslp.org/wiki/Canon_dans_le_mode_phrygien_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/824685/hfpb
C,Cantique sur le bonheur des justes et sur le malheur des réprouvés,,,"Canticles; Religious works; For voice, piano; For voices with keyboard; Scores featuring the voice; Scores featuring the piano; French language",宗教声乐作品,圣歌,"Voice, Piano",声乐、钢琴,声乐、钢琴,法语,91697,Complete Score,tabScore1,Public Domain,"Mélodies de Reynaldo Hahn, Vol.2, No.2Paris: Heugel, 1896. Plate H. 27,627",True,downloaded,,,宗教声乐作品/5bb383e0-bb3b-4719-8f00-aeeeb6b4e42d.pdf,"https://imslp.org/wiki/Cantique_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/91697/hfpb
C,Caprice mélancolique for 2 Pianos,F-sharp major,升F大调,Caprices; For 2 pianos; Scores featuring the piano; For 2 players,室内乐,随想曲,2 pianos,双钢琴,双钢琴,,22504,Complete Score,tabScore1,Public Domain,"Paris: Heugel & Cie., 1897. Plate H. & Cie. 18830.",True,downloaded,,,室内乐/5c5c6f77-4398-42ca-8485-160c8837b654.pdf,"https://imslp.org/wiki/Caprice_m%C3%A9lancolique_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/22504/hfpb
C,La Carmélite,,,"Comic operas; Theatrical Works; Operas; For voices, mixed chorus, orchestra; Scores featuring the voice; Scores featuring mixed chorus; Scores featuring the orchestra; For voices and chorus with orchestra; French language",歌剧总谱,喜歌剧,"Vocal soloists, Chorus, Orchestra",独唱、合唱、管弦乐队,独唱、合唱、管弦乐队,法语,75485,Complete Score,tabScore1,Public Domain,"Paris: Heugel & Cie, 1902. Plate H. & Cie 21.079.",True,downloaded,,,歌剧总谱/ab9fb1fe-3f22-4426-aff2-f8c123719159.pdf,"https://imslp.org/wiki/La_carm%C3%A9lite_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/75485/hfpb
C,La Carmélite,,,"Comic operas; Theatrical Works; Operas; For voices, mixed chorus, orchestra; Scores featuring the voice; Scores featuring mixed chorus; Scores featuring the orchestra; For voices and chorus with orchestra; French language",歌剧总谱,喜歌剧,"Vocal soloists, Chorus, Orchestra",独唱、合唱、管弦乐队,独唱、合唱、管弦乐队,法语,22027,下载这个文件,tabScore1,Public Domain,"Paris: Heugel & Cie, 1902. Plate H. & Cie 21.079.",True,downloaded,,,歌剧总谱/0f010e22-cc7a-47f7-87cc-c81bb22203a7.pdf,"https://imslp.org/wiki/La_carm%C3%A9lite_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/22027/hfpb
C,La Carmélite,,,"Comic operas; Theatrical Works; Operas; For voices, mixed chorus, orchestra; Scores featuring the voice; Scores featuring mixed chorus; Scores featuring the orchestra; For voices and chorus with orchestra; French language",歌剧总谱,喜歌剧,"Vocal soloists, Chorus, Orchestra",独唱、合唱、管弦乐队,独唱、合唱、管弦乐队,法语,22023,Introduction,tabScore1,Public Domain,"Paris: Heugel & Cie, 1902. Plate H. & Cie 21.079.",True,downloaded,,,歌剧总谱/5f1ffaec-d7ce-459e-8f4d-585e51897a81.pdf,"https://imslp.org/wiki/La_carm%C3%A9lite_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/22023/hfpb
C,La Carmélite,,,"Comic operas; Theatrical Works; Operas; For voices, mixed chorus, orchestra; Scores featuring the voice; Scores featuring mixed chorus; Scores featuring the orchestra; For voices and chorus with orchestra; French language",歌剧总谱,喜歌剧,"Vocal soloists, Chorus, Orchestra",独唱、合唱、管弦乐队,独唱、合唱、管弦乐队,法语,22024,下载这个文件,tabScore1,Public Domain,"Paris: Heugel & Cie, 1902. Plate H. & Cie 21.079.",True,downloaded,,,歌剧总谱/de5aabf3-593d-4322-a77b-6d09ba6774a9.pdf,"https://imslp.org/wiki/La_carm%C3%A9lite_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/22024/hfpb
C,La Carmélite,,,"Comic operas; Theatrical Works; Operas; For voices, mixed chorus, orchestra; Scores featuring the voice; Scores featuring mixed chorus; Scores featuring the orchestra; For voices and chorus with orchestra; French language",歌剧总谱,喜歌剧,"Vocal soloists, Chorus, Orchestra",独唱、合唱、管弦乐队,独唱、合唱、管弦乐队,法语,22025,下载这个文件,tabScore1,Public Domain,"Paris: Heugel & Cie, 1902. Plate H. & Cie 21.079.",True,downloaded,,,歌剧总谱/4d788928-5e0e-40d7-baa9-895236b96e14.pdf,"https://imslp.org/wiki/La_carm%C3%A9lite_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/22025/hfpb
C,La Carmélite,,,"Comic operas; Theatrical Works; Operas; For voices, mixed chorus, orchestra; Scores featuring the voice; Scores featuring mixed chorus; Scores featuring the orchestra; For voices and chorus with orchestra; French language",歌剧总谱,喜歌剧,"Vocal soloists, Chorus, Orchestra",独唱、合唱、管弦乐队,独唱、合唱、管弦乐队,法语,22069,Act II,tabScore1,Public Domain,"Paris: Heugel & Cie, 1902. Plate H. & Cie 21.079.",True,downloaded,,,歌剧总谱/3f5f44a7-6f24-4ba6-af13-e2bd8e2d83e4.pdf,"https://imslp.org/wiki/La_carm%C3%A9lite_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/22069/hfpb
C,La Carmélite,,,"Comic operas; Theatrical Works; Operas; For voices, mixed chorus, orchestra; Scores featuring the voice; Scores featuring mixed chorus; Scores featuring the orchestra; For voices and chorus with orchestra; French language",歌剧总谱,喜歌剧,"Vocal soloists, Chorus, Orchestra",独唱、合唱、管弦乐队,独唱、合唱、管弦乐队,法语,22090,Act III,tabScore1,Public Domain,"Paris: Heugel & Cie, 1902. Plate H. & Cie 21.079.",True,downloaded,,,歌剧总谱/66d93d84-3f8f-41b1-81be-91fa6e2ce26d.pdf,"https://imslp.org/wiki/La_carm%C3%A9lite_(Hahn,_Reynaldo)",https://imslp.org/wiki/Special:ImagefromIndex/22090/hfpb
